The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92708        -36.26         0.0488         62.67          0.44384        119.3          0.86805        -32.08         

Pt        X         Y         gamma_l        angle          gamma_out      angle          
384       9593      7396      0.3781         -160.25288     0.9301         -35.92631      
385       9774      7396      0.38021        -173.85697     0.93109        -35.95935      
386       9955      7396      0.38324        172.68345      0.93205        -36.00029      
387       10136     7396      0.38739        159.25436      0.93298        -36.05074      
388       10317     7396      0.39287        145.95548      0.93388        -36.11224      
389       10498     7396      0.39845        132.79186      0.93472        -36.18813      
390       10679     7396      0.40439        119.82146      0.93544        -36.28119      
391       10860     7396      0.41029        107.00405      0.93597        -36.39571      
392       11041     7396      0.41568        94.39523       0.93614        -36.53456      
393       11222     7396      0.4205         81.94186       0.93571        -36.69836      
394       11403     7396      0.42411        69.60298       0.9343         -36.87824      
395       11584     7396      0.42711        57.40101       0.93158        -37.04688      
396       11765     7396      0.42856        45.28534       0.92747        -37.15103      
397       0         7473      0.42576        150.73779      0.93396        -36.06884      
398       164       7473      0.43038        138.90246      0.93481        -36.13285      
399       328       7473      0.43529        127.19007      0.93561        -36.21036      
400       492       7473      0.44021        115.54583      0.93632        -36.30523      
401       656       7473      0.44491        104.04279      0.93684        -36.4208       
402       820       7473      0.4493         92.63784       0.93704        -36.56113      
403       984       7473      0.45324        81.36821       0.9367         -36.72714      
404       1148      7473      0.45642        70.19328       0.93547        -36.91338      
405       1312      7473      0.45894        59.09494       0.93298        -37.09877      
406       1476      7473      0.46043        48.05057       0.92899        -37.23723      
407       1640      7473      0.46104        37.05211       0.92394        -37.26786      
408       1804      7473      0.46083        26.02406       0.91899        -37.15497      
409       1968      7473      0.45974        15.0746        0.9155         -36.93053      
410       2132      7473      0.45758        4.07632        0.91395        -36.66722      
411       2296      7473      0.455          -6.98164       0.91397        -36.42722      
412       2460      7473      0.4515         -18.0462       0.91497        -36.23745      
413       2624      7473      0.44785        -29.19246      0.9164         -36.097        
414       2788      7473      0.44391        -40.45725      0.91798        -35.99719      
415       2952      7473      0.43964        -51.75695      0.91954        -35.9291       
416       3116      7473      0.43545        -63.18214      0.92104        -35.88356      
417       3280      7473      0.43169        -74.6667       0.92243        -35.85462      
418       3444      7473      0.42796        -86.29694      0.92373        -35.83829      
419       3608      7473      0.42489        -97.98671      0.92494        -35.83137      
420       3772      7473      0.42256        -109.8107      0.92608        -35.8319       
421       3936      7473      0.42057        -121.72337     0.92715        -35.83907      
422       4100      7473      0.41927        -133.72282     0.92818        -35.85193      
423       4264      7473      0.41878        -145.83511     0.92918        -35.87018      
424       4428      7473      0.41956        -157.94432     0.93014        -35.89343      
425       4592      7473      0.42152        -170.01348     0.93107        -35.92197      
426       4756      7473      0.42417        177.95497      0.932          -35.95673      
427       4920      7473      0.4275         165.9796       0.9329         -35.99862      
428       5084      7473      0.43168        154.05603      0.9338         -36.04892      
429       5248      7473      0.43613        142.19529      0.93467        -36.1099       
430       5412      7473      0.44099        130.4455       0.93551        -36.18371      
431       5576      7473      0.44568        118.77368      0.93626        -36.27413      
432       5740      7473      0.45035        107.2215       0.93687        -36.38468      
433       5904      7473      0.45512        95.79454       0.93722        -36.51945      
434       6068      7473      0.45911        84.49235       0.93708        -36.68129      
