The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_l        angle          gamma_out      angle          
398       164       7473      0.43932        -47.10497      0.92419        -31.77115      
399       328       7473      0.43867        -56.43787      0.9253         -31.70573      
400       492       7473      0.43725        -65.76757      0.9264         -31.6567       
401       656       7473      0.43494        -75.10312      0.92748        -31.62077      
402       820       7473      0.43211        -84.48652      0.92851        -31.59488      
403       984       7473      0.42848        -93.90744      0.9295         -31.57738      
404       1148      7473      0.42404        -103.34222     0.93045        -31.56686      
405       1312      7473      0.41937        -112.89197     0.93136        -31.56173      
406       1476      7473      0.41396        -122.525       0.93223        -31.56177      
407       1640      7473      0.40815        -132.25019     0.93308        -31.56631      
408       1804      7473      0.40245        -142.18487     0.93391        -31.57484      
409       1968      7473      0.39651        -152.18281     0.93471        -31.58759      
410       2132      7473      0.39093        -162.40528     0.93551        -31.60446      
411       2296      7473      0.38599        -172.82982     0.9363         -31.62568      
412       2460      7473      0.38132        176.64489      0.93708        -31.65191      
413       2624      7473      0.37784        165.93541      0.93786        -31.68349      
414       2788      7473      0.37581        155.10053      0.93864        -31.72115      
415       2952      7473      0.37445        144.18331      0.9394         -31.76664      
416       3116      7473      0.37465        133.23852      0.94015        -31.82077      
417       3280      7473      0.37621        122.30005      0.94085        -31.88553      
418       3444      7473      0.37918        111.39068      0.94148        -31.96318      
419       3608      7473      0.38298        100.62243      0.94198        -32.05568      
420       3772      7473      0.38801        89.93385       0.94227        -32.16579      
421       3936      7473      0.39325        79.34726       0.9422         -32.29467      
422       4100      7473      0.39932        68.89004       0.94161        -32.44013      
423       4264      7473      0.40544        58.54457       0.94024        -32.59331      
424       4428      7473      0.41175        48.41562       0.93793        -32.73369      
425       4592      7473      0.41803        38.42968       0.93466        -32.83206      
426       4756      7473      0.42369        28.59308       0.93079        -32.85453      
427       4920      7473      0.42888        18.81642       0.92696        -32.7858       
428       5084      7473      0.43343        9.15064        0.92393        -32.64023      
429       5248      7473      0.43735        -0.43319       0.92207        -32.45467      
430       5412      7473      0.44065        -9.96268       0.92133        -32.26565      
431       5576      7473      0.44313        -19.46591      0.92144        -32.09618      
432       5740      7473      0.44504        -28.91505      0.9221         -31.95597      
433       5904      7473      0.44615        -38.30352      0.92305        -31.84525      
434       6068      7473      0.44631        -47.65547      0.92414        -31.76012      
435       6232      7473      0.4456         -56.98661      0.92528        -31.69576      
436       6396      7473      0.44424        -66.31999      0.9264         -31.64762      
437       6560      7473      0.44195        -75.67605      0.92749        -31.61248      
438       6724      7473      0.43908        -85.03704      0.92853        -31.58747      
