The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
269       5772      5884      0.29303        89.63283       0.87965        -29.75716      
270       5883      5884      0.29175        82.55152       0.87922        -29.82062      
271       0         5968      0.34482        98.80319       0.88126        -29.68232      
272       100       5968      0.34366        92.40355       0.88115        -29.75015      
273       200       5968      0.34263        85.97043       0.88088        -29.82205      
274       300       5968      0.34135        79.57051       0.88042        -29.89556      
275       400       5968      0.34009        73.10205       0.87974        -29.96957      
276       500       5968      0.33875        66.72242       0.87882        -30.03881      
277       600       5968      0.33729        60.22712       0.87765        -30.10104      
278       700       5968      0.33576        53.77528       0.87625        -30.14967      
279       800       5968      0.3344         47.23419       0.87465        -30.18128      
280       900       5968      0.33336        40.71386       0.87294        -30.19156      
281       1000      5968      0.33213        34.14206       0.87121        -30.17695      
282       1100      5968      0.33131        27.63793       0.86958        -30.13981      
283       1200      5968      0.33013        21.08026       0.86813        -30.08041      
284       1300      5968      0.3288         14.62661       0.86697        -30.00611      
285       1400      5968      0.32804        8.0262         0.86606        -29.92121      
286       1500      5968      0.3269         1.54618        0.86547        -29.83298      
287       1600      5968      0.32623        -5.04367       0.86513        -29.74414      
288       1700      5968      0.32539        -11.60043      0.86504        -29.6596       
289       1800      5968      0.32468        -18.19915      0.86513        -29.58087      
290       1900      5968      0.3244         -24.74426      0.86537        -29.51007      
291       2000      5968      0.32414        -31.39871      0.86572        -29.44603      
292       2100      5968      0.324          -37.89862      0.86615        -29.3911       
293       2200      5968      0.32412        -44.51244      0.86663        -29.34238      
294       2300      5968      0.32387        -51.07508      0.86716        -29.3012       
295       2400      5968      0.3246         -57.71504      0.8677         -29.26486      
296       2500      5968      0.32492        -64.27483      0.86826        -29.23489      
297       2600      5968      0.32541        -70.79172      0.86881        -29.20982      
298       2700      5968      0.32582        -77.26732      0.86937        -29.18927      
299       2800      5968      0.32673        -83.81868      0.86992        -29.17186      
300       2900      5968      0.32774        -90.24884      0.87045        -29.15806      
301       3000      5968      0.32863        -96.78159      0.87099        -29.14725      
302       3100      5968      0.32993        -103.16889     0.87151        -29.139        
303       3200      5968      0.33077        -109.69638     0.87203        -29.13356      
304       3300      5968      0.33177        -116.03796     0.87253        -29.13036      
305       3400      5968      0.33277        -122.44871     0.87303        -29.12924      
306       3500      5968      0.33388        -128.77825     0.87351        -29.12998      
307       3600      5968      0.33484        -135.19432     0.87399        -29.13276      
308       3700      5968      0.33572        -141.46819     0.87446        -29.1373       
309       3800      5968      0.33712        -147.85557     0.87492        -29.1433       
310       3900      5968      0.33781        -154.09136     0.87538        -29.15144      
311       4000      5968      0.33866        -160.43392     0.87583        -29.16135      
312       4100      5968      0.3396         -166.66843     0.87627        -29.17279      
313       4200      5968      0.3403         -172.90396     0.87671        -29.18625      
314       4300      5968      0.34065        -179.137       0.87714        -29.2019       
315       4400      5968      0.34119        174.58566      0.87757        -29.21958      
316       4500      5968      0.34155        168.3723       0.87799        -29.23939      
317       4600      5968      0.34185        162.12233      0.8784         -29.26173      
318       4700      5968      0.34191        155.88501      0.8788         -29.28676      
319       4800      5968      0.34206        149.678        0.87919        -29.31439      
320       4900      5968      0.34182        143.44395      0.87956        -29.34545      
321       5000      5968      0.34162        137.19043      0.87991        -29.37991      
322       5100      5968      0.34114        130.95871      0.88023        -29.41805      
323       5200      5968      0.34045        124.67901      0.88052        -29.46054      
324       5300      5968      0.33984        118.40965      0.88077        -29.50713      
325       5400      5968      0.33915        112.13161      0.88095        -29.55829      
326       5500      5968      0.33823        105.8599       0.88106        -29.614        
327       5600      5968      0.33699        99.51146       0.88106        -29.67492      
328       5700      5968      0.33616        93.18856       0.88096        -29.73973      
329       5800      5968      0.33512        86.802         0.8807         -29.80857      
330       5900      5968      0.33343        80.43865       0.88025        -29.87859      
