The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_l        angle          gamma_out      angle          
405       1312      7473      0.4658         61.80416       0.9396         -34.08254      
406       1476      7473      0.46641        52.24037       0.93701        -34.25489      
407       1640      7473      0.46553        42.70176       0.93317        -34.37644      
408       1804      7473      0.46361        33.08329       0.92849        -34.40323      
409       1968      7473      0.45998        23.47005       0.924          -34.311        
410       2132      7473      0.45528        13.75005       0.9206         -34.12565      
411       2296      7473      0.44967        3.90456        0.91872        -33.89963      
412       2460      7473      0.44278        -5.99053       0.91823        -33.68198      
413       2624      7473      0.43528        -16.04206      0.91865        -33.49621      
414       2788      7473      0.42759        -26.31248      0.91961        -33.34763      
415       2952      7473      0.41915        -36.69082      0.92083        -33.23526      
416       3116      7473      0.41079        -47.28034      0.92213        -33.15116      
417       3280      7473      0.4027         -58.06098      0.92344        -33.08945      
418       3444      7473      0.39523        -69.07451      0.92471        -33.0447       
419       3608      7473      0.38874        -80.2596       0.92592        -33.01316      
420       3772      7473      0.38333        -91.63106      0.92707        -32.99194      
421       3936      7473      0.37911        -103.18473     0.92817        -32.97904      
422       4100      7473      0.37666        -114.86651     0.92922        -32.97272      
423       4264      7473      0.37558        -126.67753     0.93024        -32.97243      
424       4428      7473      0.37665        -138.43188     0.93121        -32.97695      
425       4592      7473      0.37989        -150.10956     0.93216        -32.98586      
426       4756      7473      0.3843         -161.62789     0.93308        -32.99963      
427       4920      7473      0.39021        -173.01615     0.934          -33.01807      
428       5084      7473      0.39738        175.80475      0.9349         -33.04142      
429       5248      7473      0.40522        164.80511      0.93581        -33.0706       
430       5412      7473      0.41388        154.02481      0.93671        -33.10607      
431       5576      7473      0.42265        143.41052      0.93761        -33.14952      
432       5740      7473      0.43157        133.0084       0.93851        -33.20211      
433       5904      7473      0.44023        122.8039       0.93939        -33.266        
434       6068      7473      0.44807        112.78633      0.94021        -33.34387      
435       6232      7473      0.455          102.89007      0.94094        -33.43922      
436       6396      7473      0.46116        93.11434       0.9415         -33.55533      
437       6560      7473      0.46598        83.41606       0.94173        -33.69579      
438       6724      7473      0.46965        73.77521       0.94144        -33.86134      
439       6888      7473      0.47178        64.16292       0.94029        -34.04598      
440       7052      7473      0.47263        54.54528       0.93797        -34.23055      
441       7216      7473      0.47195        44.94328       0.93431        -34.3749       
442       7380      7473      0.46998        35.30506       0.92961        -34.42963      
